TRACTID,LONGITUDE,LATITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
2,-79.42728666,43.87819313,19334,8393,4303,2007,3
140,-79.75362093,43.74642852,27023,8824,5584,2282,3
748,-79.67711027,43.59339743,20186,6041,5677,1959,3
1035,-79.44613491,43.76878206,9791,3091,4141,1655,3
1141,-79.70829243,43.4181211,29908,8763,4898,2134,3
1199,-79.41038324,43.69593689,3006,1155,2081,554,3
1266,-79.39184577,43.73860923,7165,2494,3416,1363,3
1342,-79.26491083,43.76548832,14094,4521,3716,1527,3
1383,-79.50935017,43.64425552,7376,2181,1836,1215,3
1613,-79.77608096,43.76084529,28793,9411,6077,2308,3
1837,-79.80068628,43.68583872,29676,9104,5670,2502,3
2004,-79.27197251,43.83403609,20500,6397,5148,1907,3
2201,-79.73781995,43.77935085,26712,8342,6258,2514,3
2673,-79.84187167,43.51861567,34565,10411,6250,2636,3
2905,-79.55816088,43.65143533,10447,3265,3266,1274,3
3052,-79.44885477,43.787757,11367,4442,4578,1838,3
3463,-79.36474355,43.70725554,4928,1679,2775,1014,3
3577,-79.32494393,43.76060536,11686,4244,4327,1163,3
3640,-79.47186081,44.06079692,34727,12532,6133,2779,3
3969,-79.55452793,43.74518748,14692,4685,4962,1952,3
